Tiempo,Solución
0.365755,3782
0.366488,3771
0.477763,3692
0.478477,3755
0.480266,3685
0.584516,3713
0.575461,3709
0.578684,3735
3.43558,4037
3.43675,3863
3.44039,3768
3.54592,3846
3.58111,3812
3.59062,3727
3.66901,3847
3.66402,3804
3.66504,3817
12.0414,4154
12.0173,3860
12.1206,3783
12.1382,3996
12.0928,3830
12.1025,3814
12.2304,3948
12.2539,3835
12.2426,3833
0.366774,3920
0.365958,3688
0.364139,3688
0.480676,3703
0.481616,3803
0.480903,3755
0.577781,3637
0.579018,3700
0.58235,3708
3.44226,4048
3.44892,3834
3.46037,3753
3.56052,3903
3.5696,3769
3.57482,3795
3.65497,3818
3.64627,3791
3.66455,3746
12.022,4125
11.5679,3895
11.5917,3813
11.6791,3975
11.6989,3841
11.6826,3795
11.7497,3952
11.7785,3790
11.8534,3752
0.355202,3751
0.383026,3793
0.379877,3676
0.514535,3739
0.533964,3814
0.476788,3705
0.563001,3701
0.573508,3730
0.567897,3689
3.37232,4031
3.3484,3802
3.35154,3792
3.45835,3866
3.46606,3781
3.481,3752
3.57146,3815
3.5497,3781
3.65631,3752
11.6879,4120
11.7078,3860
11.73,3795
11.8816,3982
12.047,3819
11.8846,3794
12.1519,3940
12.0434,3855
12.0676,3776
0.359592,3840
0.361122,3727
0.361067,3688
0.475603,3727
0.474899,3727
0.472988,3755
0.575314,3683
0.571663,3783
0.571191,3712
3.39013,3973
3.38853,3821
3.39098,3764
3.48854,3853
3.50723,3777
3.50685,3768
3.59632,3783
3.60648,3835
3.61161,3798
11.8134,4060
11.8404,3915
11.8597,3788
11.943,3985
11.9366,3841
11.9516,3805
12.0315,3950
12.0359,3859
12.0502,3772
0.360651,3802
0.361974,3688
0.35884,3764
0.473487,3676
0.474855,3711
0.474769,3687
0.573176,3743
0.573655,3684
0.573837,3828
3.39721,4050
3.41315,3824
3.40944,3815
3.50913,3918
3.50368,3781
3.51492,3744
3.60566,3884
3.60267,3784
3.60391,3761
11.8135,4155
11.814,3881
11.84,3787
11.9121,3945
11.9717,3882
12.0083,3794
12.0502,3939
12.0385,3845
12.0526,3805
0.360867,3707
0.360362,3715
0.359996,3719
0.475416,3724
0.473572,3722
0.476907,3676
0.575625,3806
0.57528,3712
0.573726,3692
3.3888,3982
3.39504,3839
3.39308,3788
3.51877,3856
3.52508,3798
3.53974,3805
3.61556,3848
3.62527,3786
3.62937,3754
11.8872,4091
11.8827,3856
11.9362,3808
11.8673,3999
11.6868,3821
11.7938,3798
11.9396,3949
12.0155,3812
12.1641,3791
0.352134,3786
0.380666,3756
0.428253,3695
0.51371,3681
