Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Máximo,Mínimo,Promedio
16706.6,16749.1,16557,16844.8,16673,16740.7,16770,16660.1,16770.7,16591.6,16687.7,16761.1,16693.3,16855.6,16634.9,16744.3,16688.7,16623.9,16686.8,16636.7,16855.6,16557,16703.83
17006.7,17398,17207.5,16982.5,17212.4,17088.7,17065.8,17025.5,17231.6,17099.2,17115,17325.7,17125.9,17203,17077.8,17111.9,17097.3,16940.7,17249.9,17246.5,17398,16940.7,17140.58
16789.5,16673.7,16839.4,16787.9,17006.9,16757.5,16960.1,16770.1,17135.8,16788,16687.3,16561.5,16655,16839.5,16667.7,16741.3,17052.8,16751.3,16974.6,16736.9,17135.8,16561.5,16808.84
16667.3,16799,16589.1,16651.7,16766.3,16587.4,16786.2,16713.6,16720.5,16660,16810.1,16637.7,16607.4,16566.3,16610,16929.5,16679.8,16723.8,16475.3,16794.6,16929.5,16475.3,16688.78
17013.4,16817.3,16862.2,16892.9,16924.5,17012.3,16944.5,16812.9,16762.3,16958.4,16900.7,16868.5,16947.3,16941.6,16788.4,17010.4,17140.6,17054.5,17149.7,16821.3,17149.7,16762.3,16931.185
16810.9,16596.2,16688.2,16800.2,16699.3,17021.9,16696,16792.1,16704.2,16819.6,16744.1,17030.3,16864.7,16764.1,16836.1,16905.1,16801.2,16855.2,16739.7,16812.6,17030.3,16596.2,16799.085
16566.2,16716.5,16672.7,16671.1,16698.7,16725.3,16604.9,16657.3,16619,16752.4,16666.8,16596,16777.1,16740.7,16589.4,16670.2,16926.7,16636.1,16638.3,16999.7,16999.7,16566.2,16696.255
17845.2,17913.6,17915.8,18021.9,17958.9,17831.2,17958.1,17944.2,17812,17996,17794.7,17884.1,17960.2,17899.4,17842.6,18014.5,17885.8,17890.3,17917.9,17922,18021.9,17794.7,17910.42
16963.6,17059.9,17056.3,17008.5,16964.5,17018.8,16949.3,17111,17080,16954.1,17123,17034.6,16926.1,17170.9,16917,16897.2,16918.4,17015.5,16918.8,17057.1,17170.9,16897.2,17007.23
16765,16911.7,16712.8,16790.6,16829.9,16984.2,16718.6,16881.4,16742.6,16961.8,16687.6,16791.2,16794.7,16872.4,16771.1,16633.5,16881,16828.5,16748.1,16855.7,16984.2,16633.5,16808.12
17437,17370.7,17422.8,17429.3,17563.4,17429.6,17609.4,17386.6,17497,17465.5,17419.6,17570.9,17352.8,17445.1,17422.4,17508.4,17441.4,17453.7,17484.8,17443.8,17609.4,17352.8,17457.71
16783,16864.9,17004.4,16916.4,17034.9,17033,16766.2,16842.6,16896.4,16849.3,16951.1,16901.6,16995.4,16996.1,17006.3,16788.5,17141,16999.4,16984,17010.2,17141,16766.2,16938.235
16693.2,16942,16683.8,16720.9,16827.1,17051,16669.2,16608.7,16767.8,16722.2,16745.5,17010,16756.9,17058.5,16826.8,16813.3,16832.7,16709.5,16731.2,16652.8,17058.5,16608.7,16791.155
17293.3,17441.4,17372.5,17335.1,17298.5,17350.1,17338.8,17525,17413.8,17272,17297.9,17387.3,17555.7,17350.2,17347.7,17214.9,17381.1,17475.9,17394.2,17322.1,17555.7,17214.9,17368.375
16821.4,16904.4,16969.8,16851.4,16919.5,16929.9,16971.8,17007.1,16934,16829.1,16901.2,17010.2,16938.5,16885.2,16896.7,16962.1,16878.4,16884.3,16908.2,16773.4,17010.2,16773.4,16908.83
16641.9,16684.5,16766.3,16678.9,16792.7,16732.1,16875.5,16726.2,16958.7,16764,16737.1,16744.2,16761.4,16819,16749,16958,16802,16871.9,16693.9,16846.4,16958.7,16641.9,16780.185
